polymer,system,A2_unnormalized,deltaGmin,deltaGmax,N,A2_normalized,A2_normalized_win10,A2_normalized_win20,A2_normalized_win30,deltaGmax_win10,deltaGmax_win20,deltaGmax_win30
2416,fe_virial_batch_100k_17_0,-41.35044780662598,0.0,1.3363098486543195,38,-0.02863604418741411,0.045938613946846764,0.07591958496852667,0.07929025376455255,1.3151628530061032,1.1979858505969239,1.0990935892419438
2417,fe_virial_batch_100k_17_0,82.23721253841578,0.0,1.4541792072974131,38,0.05695097821219929,-0.0012285140795624844,-0.021120424902803452,-0.002708721956432645,1.3961141085616595,1.3179002350451323,1.241690026278981
2418,fe_virial_batch_100k_17_0,-72.93738325769836,0.0,2.122752518850083,38,-0.05051065322555288,-0.0501630575208289,-0.05923987751493486,-0.03094257784155191,2.069622441894993,1.9209797339302568,1.7899067929456476
2419,fe_virial_batch_100k_17_0,281.70510418980723,0.0,1.1896890744056383,38,0.19508663725055903,0.12284988692998683,0.08083835923411808,0.055281758021851535,1.0854646863394368,1.0253393183784651,0.9429076633160183
2420,fe_virial_batch_100k_17_0,-7.0178395185832105,0.0,1.6553657628529677,40,-0.0043861496991145065,0.028165843206661368,0.042233038917844155,0.05817347082841385,1.6444754196727702,1.5983968572673548,1.5464949781308328
2421,fe_virial_batch_100k_17_0,156.33959256474108,0.0,1.2937994077389712,40,0.09771224535296318,0.047974035723416714,0.023327911682932155,0.01580145097737783,1.2209830863394382,1.1441103239340216,1.0846650410937952
2422,fe_virial_batch_100k_17_0,-180.40655162476838,0.0,1.6942555188500814,40,-0.11275409476548023,-0.10394460855830491,-0.11433827346821213,-0.11541891416288078,1.6199939418949925,1.5080873072673542,1.4041674633160182
2423,fe_virial_batch_100k_17_0,146.72736247957081,0.0,1.7626304365369525,40,0.09170460154973176,0.03568610141576567,0.007640182548848041,-0.007236581228284814,1.6724361530061027,1.5820558739340207,1.4831814707234259
2424,fe_virial_batch_100k_17_0,-100.00168943314118,0.0,2.110931160206989,40,-0.06250105589571324,-0.02174695845909467,-0.008133572176560667,0.026287786309751208,2.0742192418949923,1.9888727239340191,1.899515281834535
2425,fe_virial_batch_100k_17_0,-0.4452661040410754,-0.6468793060181195,0.07840619551262495,34,-0.00038517829069297183,-0.04092119195965124,-0.04629385176563077,-0.05732414452173068,0.041136339150722345,0.013071335628899838,0.00869880559262215
2426,fe_virial_batch_100k_17_0,113.09766871912598,0.0,0.34285929662785986,34,0.09783535356325776,0.09614723875613684,0.033519270510765406,0.017169803809215897,0.2893839085616594,0.18929534615624277,0.12679610035305494
