system,Rg
frac_298,2.2611343628185905
frac_299,2.261171329335332
frac_300,1.8117238030984506
frac_301,1.8306226536731633
frac_302,1.7815390254872563
frac_303,1.7923196551724139
frac_304,1.7939406446776613
frac_305,1.9537072213893052
frac_306,1.971713348325837
frac_307,1.9711296451774112
frac_308,1.9259845027486255
frac_309,1.870183348325837
frac_310,2.0397910244877564
frac_311,2.0501150824587704
frac_312,2.0874140679660167
frac_313,2.0163350174912544
frac_314,2.0769451424287855
frac_315,2.1878141579210397
frac_316,2.204880779610195
frac_317,2.246332028985507
frac_318,2.2199830084957526
frac_319,2.2197537681159423
frac_320,2.2683876911544227
frac_321,2.3539535332333834
frac_322,2.30592303848076
frac_323,2.3442344077961024
frac_324,2.3436725187406298
frac_325,1.8442973913043479
frac_326,1.902766756621689
frac_327,1.8736261369315341
frac_328,1.90792179910045
frac_329,1.8745799100449776
frac_330,2.0326833783108444
frac_331,2.000147751124438
frac_332,2.0429045727136432
frac_333,2.026215962018991
frac_334,2.0606579810094954
frac_335,2.168857356321839
frac_336,2.1501591404297855
frac_337,2.1561967066466767
frac_338,2.139083683158421
frac_339,2.1559034382808595
frac_340,2.267147891054473
frac_341,2.2076699650174914
frac_342,2.3322892953523238
frac_343,2.2457498750624687
frac_344,2.217239995002499
frac_345,2.34557151924038
frac_346,2.392715007496252
frac_347,2.385354447776112
frac_348,2.3760179110444777
frac_349,2.38213624187906
frac_350,1.967530459770115
frac_351,1.9491672563718143
frac_352,1.94389003998001
frac_353,1.9638462718640681
frac_354,1.9261077411294354
frac_355,2.0828999300349826
frac_356,2.0890805297351327
frac_357,2.0620465717141427
frac_358,2.06910211894053
frac_359,2.094763148425787
frac_360,2.1874584207896053
frac_361,2.2548439080459772
frac_362,2.2155795652173915
frac_363,2.1853264667666163
frac_364,2.176699285357321
frac_365,2.3065258720639683
frac_366,2.3207414392803596
frac_367,2.3822111694152923
frac_368,2.321860369815093
frac_369,2.3255990704647673
frac_370,2.4825271614192905
frac_371,2.43378063968016
frac_372,2.5309116541729137
frac_373,2.4954850024987505
frac_374,2.466293328335832
frac_375,1.71669095952024
frac_376,1.746665603198401
frac_377,1.716391544227886
frac_378,1.70712123938031
frac_379,1.7371605447276361
frac_380,1.8443450374812593
frac_381,1.8395380959520238
frac_382,1.8892950824587706
frac_383,1.8682748375812095
frac_384,1.864931844077961
frac_385,2.0349750824587707
frac_386,1.980148855572214
frac_387,1.9519463068465768
frac_388,2.0005212493753124
frac_389,1.9334129435282357
frac_390,2.1476474762618687
frac_391,2.1029164417791106
frac_392,2.1424590104947527
frac_393,2.056536386806597
frac_394,2.1308144577711143
frac_395,2.212832513743128
frac_396,2.2813683058470766
frac_397,2.2636633183408295
frac_398,2.228567846076962
frac_399,2.2607454722638676
frac_400,1.8115235282358821
