polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
2490,fe_virial_batch_100k17,148.95614333430328,0.0,44,0.07694015668094177
2491,fe_virial_batch_100k17,-171.34993494472218,0.0,44,-0.08850719780202591
2492,fe_virial_batch_100k17,164.08731205114873,0.0,44,0.0847558430016264
2493,fe_virial_batch_100k17,257.0810907951375,0.0,44,0.13278981962558756
2494,fe_virial_batch_100k17,-83.79261333840039,0.0,44,-0.04328130854256218
2495,fe_virial_batch_100k17,156.61384162362927,0.0,46,0.0740141028467057
2496,fe_virial_batch_100k17,213.16268386905043,0.0,46,0.10073850844473083
2497,fe_virial_batch_100k17,138.8088383704106,0.0,46,0.06559964006163072
2498,fe_virial_batch_100k17,-50.46924298077278,0.0,46,-0.023851249045733828
2499,fe_virial_batch_100k17,35.12240594244837,0.0,46,0.016598490521005843
2500,fe_virial_batch_100k17,33.03854178418252,0.0,24,0.05735857948642799
2501,fe_virial_batch_100k17,-47.426532760331774,0.0,24,-0.0823377304866871
2502,fe_virial_batch_100k17,6.991568341648949,0.0,24,0.012138139482029426
2503,fe_virial_batch_100k17,-101.0774121073855,0.0,24,-0.1754816182419887
2504,fe_virial_batch_100k17,-24.188249160511273,0.0,24,-0.04199348812588763
2505,fe_virial_batch_100k17,221.0175362778732,0.0,26,0.3269490181625343
2506,fe_virial_batch_100k17,32.44502812375264,0.0,26,0.0479956037333619
2507,fe_virial_batch_100k17,-84.25636441501496,0.0,26,-0.12463959232990378
2508,fe_virial_batch_100k17,66.31975550635818,0.0,26,0.0981061471987547
2509,fe_virial_batch_100k17,159.38656091664777,0.0,26,0.23577893626723043
2510,fe_virial_batch_100k17,-89.36774150624825,0.0,28,-0.1139894662069493
2511,fe_virial_batch_100k17,-27.02426763279901,0.0,28,-0.03446972912346812
2512,fe_virial_batch_100k17,25.93270943623822,0.0,28,0.03307743550540589
2513,fe_virial_batch_100k17,-7.915650526301719,0.0,28,-0.01009649301824199
2514,fe_virial_batch_100k17,-19.142293754836484,0.0,28,-0.024416191013822044
2515,fe_virial_batch_100k17,-69.57306388084758,0.0,30,-0.07730340431205288
2516,fe_virial_batch_100k17,125.83088278576678,0.0,30,0.13981209198418532
2517,fe_virial_batch_100k17,-19.954610329235916,0.0,30,-0.022171789254706573
2518,fe_virial_batch_100k17,-144.4441171156113,0.0,30,-0.16049346346179033
2519,fe_virial_batch_100k17,25.286793407267155,0.0,30,0.028096437119185726
2520,fe_virial_batch_100k17,217.1194155732538,0.0,32,0.21203067927075567
2521,fe_virial_batch_100k17,126.96785284028286,0.0,32,0.12399204378933873
2522,fe_virial_batch_100k17,14.437448308211863,0.0,32,0.014099070613488147
2523,fe_virial_batch_100k17,143.59395674161811,0.0,32,0.14022847338048644
2524,fe_virial_batch_100k17,-109.47761150205504,0.0,32,-0.10691172998247563
2525,fe_virial_batch_100k17,-108.27260374751425,0.0,26,-0.16016657359099742
2526,fe_virial_batch_100k17,-90.63028870477345,0.0,26,-0.13406847441534533
2527,fe_virial_batch_100k17,5.563072358938828,0.0,26,0.00822939698067874
2528,fe_virial_batch_100k17,-25.914943625730768,0.0,26,-0.03833571542267865
2529,fe_virial_batch_100k17,32.73770159515017,0.0,26,0.04842855265554759
2530,fe_virial_batch_100k17,81.94863833470193,0.0,28,0.10452632440650755
2531,fe_virial_batch_100k17,-163.92351433109144,0.0,28,-0.20908611521822887
2532,fe_virial_batch_100k17,-54.68902145515023,0.0,28,-0.06975640491728347
2533,fe_virial_batch_100k17,173.77635243409546,0.0,28,0.2216535107577748
2534,fe_virial_batch_100k17,-144.1027447365522,0.0,28,-0.18380452134764313
2535,fe_virial_batch_100k17,63.21383269118535,0.0,30,0.07023759187909484
2536,fe_virial_batch_100k17,-6.697140685561536,0.0,30,-0.007441267428401706
2537,fe_virial_batch_100k17,23.04801202678872,0.0,30,0.025608902251987465
2538,fe_virial_batch_100k17,-33.455541978419156,0.0,30,-0.03717282442046573
2539,fe_virial_batch_100k17,198.18015197271768,0.0,30,0.2202001688585752
2540,fe_virial_batch_100k17,-40.12340040205968,0.0,32,-0.039183008205136406
2541,fe_virial_batch_100k17,230.67492007718283,0.0,32,0.22526847663787386
2542,fe_virial_batch_100k17,-100.84922992889317,0.0,32,-0.09848557610243473
2543,fe_virial_batch_100k17,132.08854325715046,0.0,32,0.128992718024561
