[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
6.0,10.0,4.0,4.0,24,0.0,2.6666666666666665,2.0,0.0,4,4,0,3,2,0,0,4,2,0,-9.767585177777773,0.04193824625860813
6.0,10.0,4.0,4.0,24,0.0,2.5,2.0,2.0,4,3,0,2,1,1,0,3,2,2,-9.17841215555555,0.17677559136976898
6.0,10.0,4.0,4.0,24,3.0,2.5,2.0,2.0,4,3,1,2,1,1,3,3,2,2,-10.163111000000004,0.3872949740800209
6.0,10.0,4.0,4.0,24,0.0,3.0,0.0,2.0,4,3,0,2,0,1,0,3,0,2,-9.532329644444454,-0.2730373884445669
8.0,10.0,4.0,4.0,26,2.0,2.0,2.0,2.0,4,2,1,3,1,2,2,2,2,2,-8.673717088888889,0.02323970444924744
8.0,10.0,4.0,4.0,26,2.0,2.5,2.0,2.333333333333333,4,3,1,2,1,3,2,3,2,3,-9.979520644444444,0.1483182953235009
8.0,10.0,4.0,4.0,26,0.0,2.5,2.0,2.0,4,3,0,2,1,1,0,3,2,2,-8.768950199999999,-0.007827237101751365
8.0,10.0,4.0,4.0,26,0.0,2.5,0.0,3.0,4,3,0,2,0,1,0,3,0,3,-9.034607111111113,0.07619124064754965
8.0,10.0,4.0,4.0,26,0.0,2.5,2.0,2.0,4,3,0,2,1,2,0,3,2,2,-9.020884777777779,0.21893482751762475
10.0,10.0,4.0,4.0,28,2.0,3.0,0.0,2.6666666666666665,4,4,1,2,0,3,2,4,0,4,-9.57930253333333,0.1430922088684024
10.0,10.0,4.0,4.0,28,0.0,3.0,2.0,2.0,4,3,0,1,1,2,0,3,2,2,-8.105163177777772,-0.2099152693370028
10.0,10.0,4.0,4.0,28,2.0,2.0,0.0,2.0,4,2,1,1,0,2,2,2,0,2,-7.443217866666673,0.2344678750660987
10.0,10.0,4.0,4.0,28,2.0,4.0,0.0,2.0,4,4,1,1,0,3,2,4,0,2,-9.812894511111107,0.01594407141828546
10.0,10.0,4.0,4.0,28,2.0,2.0,2.0,2.0,4,2,1,2,1,3,2,2,2,2,-8.746621177777778,0.032791426513258136
12.0,10.0,4.0,4.0,30,0.0,3.0,2.0,4.5,4,6,0,2,1,2,0,4,2,6,-9.38833426666666,0.17468160989552606
12.0,10.0,4.0,4.0,30,2.0,2.0,2.0,2.5,4,3,1,1,1,2,2,2,2,3,-6.850658533333332,0.0563882162494054
12.0,10.0,4.0,4.0,30,0.0,2.0,0.0,2.0,4,2,0,1,0,2,0,2,0,2,-7.9889344666666675,0.11419784193187515
12.0,10.0,4.0,4.0,30,0.0,2.333333333333333,0.0,3.0,4,3,0,3,0,2,0,3,0,3,-7.4060520444444435,-0.08527934303700269
12.0,10.0,4.0,4.0,30,0.0,2.0,2.0,4.0,4,6,0,2,1,2,0,2,2,6,-8.83733262222222,0.07774555692951253
4.0,12.0,4.0,4.0,24,0.0,2.2,0.0,0.0,4,3,0,5,0,0,0,3,0,0,-12.596504666666664,0.10194986478791164
4.0,12.0,4.0,4.0,24,2.0,3.333333333333333,0.0,0.0,4,4,1,3,0,0,2,4,0,0,-11.943655288888873,-0.049339323951896434
4.0,12.0,4.0,4.0,24,2.0,2.0,2.0,2.0,4,2,1,5,1,1,2,2,2,2,-12.34517062222223,-0.2643490327843881
4.0,12.0,4.0,4.0,24,2.0,2.333333333333333,0.0,3.0,4,3,1,3,0,1,2,3,0,3,-13.629452711111114,0.06363080968067847
